	new_row	search term	biochemistry	function
146	Chloride	x		
150	Copper	x		
151	FAD	x		
152	Flavoprotein	x		
153	Heme	x		
154	NADP	x		
156	Activator	x		
157	Endocytosis	x		
158	Dwarfism	x		
159	Osteogenesis imperfecta	x		
160	Pyrrolidone carboxylic acid	x		
161	Ribonucleoprotein	x		
162	Hypotrichosis	x		
165	ANK repeat	x		
167	Kelch repeat	x		
170	Autophagy	x		
379	Cilium	x		
380	Flagellum	x		
381	Muscle protein	x		
382	Thick filament	x		
384	Glaucoma	x		
385	Gluconeogenesis	x		(metabolism)
386	LTQ	x		
387	Stickler syndrome	x		
388	TPQ	x		
391	Amelogenesis imperfecta	x		
393	S-adenosyl-L-methionine	x		
394	Progressive external ophthalmoplegia	x		
397	Thiamine pyrophosphate	x		
398	Olfaction	x		
399	Ehlers-Danlos syndrome	x		
400	Vitamin C	x		
401	Albinism	x		
402	Intrahepatic cholestasis	x		
403	Congenital adrenal hyperplasia	x		
404	Craniosynostosis	x		
405	FMN	x		
406	Biotin	x		
407	Pyruvate	x		
409	Congenital muscular dystrophy	x		
410	Emery-Dreifuss muscular dystrophy	x		
411	Intermediate filament	x		
412	Hemolytic uremic syndrome	x		
413	Thrombophilia	x		
172	Fertilization	x		
173	Epilepsy	x		
174	Motor protein	x	motor protein	
175	Myosin	x		
176	Signal transduction inhibitor	x		
178	Palmoplantar keratoderma	x		
180	Plasminogen activation	x		
182	Alternative promoter usage	x		
183	Cardiomyopathy	x		
184	Leigh syndrome	x		
186	Transit peptide	x		
187	Non-syndromic deafness	x		
192	Tight junction	x		
193	Lipid droplet	x		
195	ADP-ribosylation	x		
196	Citrullination	x		
197	RNA editing	x		
199	Phagocytosis	x		
203	Zymogen	x		
205	Guanine-nucleotide releasing factor	x		
206	Alternative initiation	x		
207	Exocytosis	x		
208	Myristate	x		
209	SH2 domain	x		
211	Microsome	x		
212	Mitochondrion outer membrane	x		
213	Nitration	x		
214	NAD	x		
216	Postsynaptic cell membrane	x		
218	Sulfation	x		
219	Chylomicron	x		
220	Hyperlipidemia	x		
221	VLDL	x		
224	Diabetes mellitus	x		
225	Necrosis	x		(necrosis)
228	Proteoglycan	x		
236	Amyloid	x		
244	Ciliopathy	x		
245	Primary ciliary dyskinesia	x		
246	Redox-active center	x		
247	Spermatogenesis	x		
250	Magnesium	x		
251	Manganese	x		
253	Cytolysis	x		
254	Mental retardation	x		
257	Sarcoplasmic reticulum	x		
258	mRNA processing	x		
259	mRNA splicing	x		
261	Allergen	x		
263	Atrial fibrillation	x		
264	Long QT syndrome	x		
265	Potassium	x		
267	Short QT syndrome	x		
269	cAMP	x		
272	Primary microcephaly	x		
273	WD repeat	x		
274	Homeobox	x		
277	Selenium	x		
278	Selenocysteine	x		
279	Osteogenesis	x		
280	Biomineralization	x		
281	Heparan sulfate	x		
282	Anion exchange	x	transporter	
283	Hereditary spastic paraplegia	x		
287	Pyridoxal phosphate	x		
288	Limb-girdle muscular dystrophy	x		
289	Schizophrenia	x		
290	Autocatalytic cleavage	x		
291	Systemic lupus erythematosus	x		
292	CBS domain	x		
294	Leber congenital amaurosis	x		
296	Age-related macular degeneration	x		
298	Sushi	x		
301	Hereditary hemolytic anemia	x		
303	Spinocerebellar ataxia	x		
304	Epidermolysis bullosa	x		
305	Hydroxylation	x		
308	Cataract	x		
309	Hyaluronic acid	x		
312	Centromere	x		
313	DNA synthesis	x		(DNA synthesis)
314	Kinetochore	x		
315	Myogenesis	x		
316	Biological rhythms	x		
317	Glutathionylation	x		
319	Congenital myasthenic syndrome	x		
321	Atherosclerosis	x		
323	SCID	x		
326	Ribosome biogenesis	x		
327	Hypogonadotropic hypogonadism	x		
328	Kallmann syndrome	x		
329	Obesity	x		
330	Bait region	x		
331	Thioester bond	x		
332	Pharmaceutical	x		
333	Chondrogenesis	x		
334	Osteopetrosis	x		
336	Peroxisome	x		
337	Annexin	x		
339	Williams-Beuren syndrome	x		
340	Amidation	x		
342	Actin capping	x		
345	Glyoxylate bypass	x		
348	Detoxification	x		
350	Pyrogen	x		
351	Dystonia	x		
352	Oxidation	x		
357	Parkinsonism	x		
360	Iron storage	x		
361	Corneal dystrophy	x		
362	Gamma-carboxyglutamic acid	x		
363	Sensory transduction	x		
364	Vision	x		
366	Chromosome partition	x		
368	Congenital erythrocytosis	x		
374	Gastrulation	x		
375	Neuronal ceroid lipofuscinosis	x		
127	Cell cycle			(cell cycle)
130	Angiogenesis			(angiogenesis)
133	Asthma			
149	Apoptosis			(apoptosis)
166	Cell division			(cell division)
168	DNA damage			(DNA damage)
171	Chemotaxis			(chemotaxis)
189	Blood coagulation			(blood coagulation)
190	Hemostasis			(hemostasis)
191	Mitosis			(mitosis)
240	Pentose shunt			(metabolism)
242	Notch signaling pathway			(Notch signaling pathway)
249	Wnt signaling pathway			(Wnt signaling pathway)
297	Complement pathway			(complement pathway)
302	Glycolysis			(metabolism)
346	Tricarboxylic acid cycle			(metabolism)
347	Aromatic hydrocarbons catabolism			(metabolism)
349	Stress response			(stress response)
354	DNA repair			(DNA repair)
355	Unfolded protein response			(unfolded protein response)
372	B-cell activation			(B-cell activation)
389	Inflammasome			(inflammasome)
